Component,Fault,Recommendation,Rating,Comments
Vacuum Gauge,Gauge cannot be adjusted to within 1 kPa of the vacuum,Vacuum gauge is not working within +/- 1 kPa requirements. Replace vacuum gauge,Major,"Any vacuum gauge attached to the plant must read within 1 kPa  of the tested vacuum (test gauge), including the read out on a VSD"
Vacuum Gauge,Gauge can be adjusted to within 1 kPa of the vacuum.,"Vacuum gauge is out of adjustment, Adjust vacuum gauage to within 1 kPa of requirements. If corrected during test then add comment on Test Summary report that it has been adjusted and is now OK.",Major,
Vacuum Gauge,No vacuum gauge,Vacuum gauge is required. Fit vacuum gauge.,Major,
Vacuum Gauge,Vacuum Gauge is inaccurate,Replace Vacuum Gauge,Major,
Vacuum Gauge,Vacuum Gauge is dirty and hard to read,Clean vacuum gauge,minor,
Vacuum Gauge,Gauge incorrectly positioned,Vacuum Gauage unable to be seen by milkers. Reposition vacuum gauge,Major,
Regulator,Vacuum level at receiver above 50kPa,Vacuum level at Receiver is above maximum allowable level. Reduce vacuum to ≤50 kPa,Critical,
Regulator,Minimum speed Vacuum/ >2kPa of working vacuum,Adjust system to conform to ISO standard,Major,
Regulator,Regulator is dirty - vacuum is controlled by VSD,Clean regulator monthly,minor,
Regulator,Regulator is dirty - vacuum is NOT controlled by VSD,Clean regulator monthly,Major,
Regulator,Regulator is inadaquate for vacuum pump capacity,The regulator does not have sufficient capacity for the airflow. This could cause it to fail and vacuum to rise uncontrollably. Replace with properly sized regulator,Critical,
Regulator,"Regulation Characteristics: If vacuum drop, overshoot or undershoot >2kPa",,Major,
Regulator,Excessive leaks,The regulator is leaking air which will affect the reserve. Service or replace the regulator,Major,
Regulator,Not fitted to manufacturers specifications.,The regulator has not been fitted to manufacturer's specifications which may cause it to malfunction. Refit correctly.,Major,
Regulator,Fitted to manufacturer's specifications and vacuum fluctuations too large.,The regulator is fitted correctly but vacuum fluctuations indicate malfunction. Replace regulator / tune VSD,Major,
Vacuum and Measurement Regulators,Vacuum Reserve is too low,"Repair any leaks, service or replace vacuum pump with the appropriate size",Major,
Vacuum and Measurement Regulators,Vacuum Regulator Air Filter Element is perished,Replace Air filter,minor,
Vacuum and Measurement Regulators,Vacuum Regulator Air Filter Element is dirty,Clean air filter monthly,minor,
Vacuum and Measurement Regulators,Peak Vacuum Regulator load is more than 2 kPa higher than specification,Service or replace the Vacuum Regulator,Major,
Vacuum and Measurement Regulators,Vacuum Regulator leaks,Service or replace Vacuum Regulator,Major,
Vacuum and Measurement Regulators,Vacuum Regulator capacity is too low for this Plant,Replace with an appropriately sized regulator,Major,
Vacuum and Measurement Regulators,Vacuum Reserve - Cleaning reserve too low,"If required, Cleaninig Reserve must be met",Major,"If reserve is adequate for the plant but there is a cleaning issue, then the cleaning reserve must be met"
Main / Receiver Airline,Airline Vacuum Drop too High,"Check for restriction e.g. gland, sanitary trap, undersized pipelines",minor,
Main / Receiver Airline,Airline leaks due to cracked and leaking Sanitary Trap,Repair or replace this Sanitary Trap,Minor,
Pulsation,Some Short Pulse Tubes are split and perished,Replace these Short Pulse Tubes,Major,
Pulsation,Some Long Pulse Tubes are split and perished,Replace these Long Pulse Tubes,Major,
Pulsation,Pulsator mounts are leaking,Repair Leaks,Major,
Pulsation,Some Pulsator Tubes are perished,Replace these Pulsator Tubes,Major,
Pulsation,Pulsation characteristics are outside the manufacturers specification,Service or replace Pulsators,Major,
Pulsation,Pulsator Air Filter Elements are dirty or perished,Clean or replace these Air Filter Elements,Major,
Pulsation,Some Pulsator Drive Vee Belts are perished,replace these Vee Belts,Major,
Pulsation,The Pulsator Airline stability is above the maximum 4kPa,"no change required unless problems occur, then install a larger Pulsator Airline",minor,
Pulsation,Pulsator Slides and Cams require cleaning and lubrication,Clean and lubricate Pulsator Slides and Cams,minor,
Pulsation,Pulsator Airline leaks are above standard,Repair leaks to within ISO Standard,minor,
Pulsation,High Pulsation System Air Consumption,Service Pulsators,Major,
Pulsation,The Pulsator Drive Vee Belts are loose,tighten these Vee Belts,minor,
Pulsation,Pulsator Airline is dirty,Clean Pulsator Airline,Major,
Cluster,"Low cluster air admission, <minimum standard.",low cluster air admission may cause vacuum fluctuations in the claw and milking too slow. Clean air admission holes,Major,
Cluster,Low cluster air admission and high milk system leaks,"High consumption can be due to leaks in bowls, seals, vacuum taps, rubberware. Check and service as required",Major,
Cluster,"High cluster admission, higher than standard",High cluster air admission will lower the reserve and may also cause milk fat damage. Service cluster air admission holes,Major,
Cluster,Broken components,Broken components may affect the plants ability to run at optimum. Replace,Major,
Cluster,Liner and Shell incompatible,"Incompatible liners and shells may cause teat damage, cup slip and cup crawl. After trialling replace liners with any of the following",Major,
Cluster,"Liner distorted, slack, split etc",Liners are perished which will be affecting milking and potentially teat condition. Replace asap,Major,
Cluster,Cluster position faulty,Faulty cluster position can affect milking out rate and teat condition. Move milk inlets. It pays to have a full discussion with the farmer before making recommendation),Major,
Cluster,Long Milk Tubes are split/Perished,replace these Long Milk Tubes,minor,
Cluster,Liners are incorrectly tensioned,Adjust to the correct tension,Major,
Cluster,Stainless Shells are dented or squashed,replace these Shells,Minor / Major,If it affects pulsation then rate as Major
Cluster,Pulse Tube Manifolds are leaking,service these Pulse Tube Manifolds,Major,
Moving Parts,No guards on rotating shafts,"Install guards e.g. on Vacuum Pumps, Milk Pumps, Slide Pulsators etc","Major, moving to Critical if not actioned with a month","Moving parts is a Health & Safety issue, this is aligning with WorkSafe requirements"
Stationary Parts,Sharp hazardous Herd Testing Mounting Rods have-been fitted under Platform,fit protective Rubber Caps to these Rods or De-Burr,Critical,
Stationary Parts,The Breech Rail is broken,Repair Breech Rail,Major,
Stationary Parts,Sharp hazardous metal work that could cause harm to cows,Fix/De-Burr sharp area,Major,
Vacuum Pump,"Vacuum Pump capacity is below standard, reserve air is below standard",Service or replace Vacuum Pump,Major,
Vacuum Pump,"Vacuum pump capacity is below standard, reserve air is above standard",Monitor Vacuum Pump performance,minor,
Vacuum Pump,Oiling fault,Vacuum pump is not oiled correctly which may cause it to fail. Service oiler on vacuum pump,Major,
Vacuum Pump,Worn or loose belts and pump speed estimated,Worn or loose belts may impact on pump performance and reserve. Replace belts on vacuum pump/tighten belts on vacuum pump,Major,
Vacuum Pump,Exhaust system restriction,Restrictive exhaust may impact on pump performance. Remove restrictions from vacuum pump exhaust,Major,
Vacuum Pump,Motor size is inadequate for vacuum pump if changes are made,The motor for this vacuum pump and speed setting is not adequate for new recommendations. Replace or speed up motor,Major/minor,
Vacuum Pump,Motor size is inadequate for vacuum pump and no issues to performance,Monitor and change if issues arise,minor,
Vacuum Pump,Pump speed is outside manufacturers specifications. {NB. Not all pumps have minimum speed. Check reserve if adequate),Adjust pump speed to manufacturers specifications,minor,
Vacuum Pump,Vacuum Pump Mechanical Seals are leaking,service the Vacuum Pump,Major,
Vacuum Pump,Vacuum Pump Coupling Inserts are beginning to perish,replace these Coupling Inserts,minor,
Vacuum Pump,Vacuum Pump water level is too low,raise this water level so it is 20mm above the Vacuum Pump's Shaft Centreline,minor,
Vacuum Pump,Vacuum Pump water level is too high,Lower this water level so it is 20mm above the Vacuum Pump's Shaft Centreline,minor,
Vacuum Pump,Vacuum Pump Water Reservoir isn't protected or lid not in place,Replace or fit a lid to the water supply,minor / Major,Major if reservoir contains debris
Vacuum Pump,Vacuum Pump water flow rate is too low,"Check for restrictions or air leaks in the supply line, unblock water feed hole,  service pump if necessary",Minor,
Vacuum Pump,Vacuum Pump Bearings are starting to become noisy,service the Vacuum Pump,Major,
Vacuum Pump,Vacuum Pump Oil is due for changing,change this Vacuum Pump Oil,minor,
Pipe lines,Receiving Can Seals are perishing,replace these Seals,minor,
Pipe lines,The Receiving Can Dome/end plate is cloudy,replace this Dome/end plate,minor,
Pipe lines,Sanitary Trap Seals are perishing,replace these Seals,minor,
Pipe lines,Interceptor Seals are perishing,replace these Seals,minor,
Pipe lines,Long Tailed Moulded Bends are perishing,replace these bends,minor,
Pipe lines,Milk System leaks due to a leaking Milkline Union,tighten this Milkline Union,minor,
Pipe lines,Centre Gland Drain is leaking,Repair the drain,minor,
Pipe lines,Interceptor Seals are perished,Replace seals,minor,
Pipe lines,Air Injector Hose perished,Replace Hose,minor,
Pipe lines,Jetter Cups are perished,Replace Jetter Cups,minor / Major,Major if causing cleaning issues
Pipe lines,Interceptor Drain is leaking,Service and replace seal,minor,
Pipe lines,Interceptor Bung is perished,Replace Bung,minor,
Pipe lines,Centre Gland has a slight milk leak,Service Centre Gland,Major,
Pipe lines,Froth Suppressor has not got an Air Filter Element fitted,Fit Air Filter,minor,
Pipe lines,ACR consumption is high,service these ACR's,minor,
